生首技	鮮血, 卓上, 看客, 喫驚	一八六五年	英國, 倫敦	可羅涅耳 斯脫德兒		I_01_24_02.ann
李文楗	己卯諸賢, 承旨	中廟朝, 乙巳		子守, 忠楗, 休叟, 聽松		D_11_01_06.ann
李忠楗	吏正	中廟朝, 己卯, 辛巳	星山	子安, 靜菴, 李灘叟, 成節孝		D_11_01_06.ann
朴楗	京兆, 贊成	魯山朝, 中廟初	密陽	子啓, 仲孫, 恭簡		D_11_01_06.ann
甲兵關鍵				李詹	九規	D_11_01_06.ann
夢無關鍵					四佳亭	D_11_01_06.ann
石楗					佔畢齋大雨	D_11_01_06.ann
詩楗				李奎報	詩集序	D_11_01_06.ann
楗	關―, 鍵, 門限, 車轄					D_11_01_06.ann
肉膏	公司	一八四七年, 一八六六年	英, 歐洲, 南美洲	李弼格		I_01_19_19.ann
井				黃帝	世本	I_01_20_11.ann
春潮舟穩					麗史	D_11_01_30.ann
眠穩					四佳亭	D_11_01_30.ann
人日人勝	每歲, 人日, 正月, 七日, 人勝牌, 諸臣, 頒賜, 閣臣, 銅人勝, 小圓鏡, 柄, 鏤仙人, 七種菜, 羹, 剪綵, 金箔, 屛風, 頭鬟, 新年, 形容, 改新	高麗	國朝		荊楚歲時記	I_01_28_05.ann
氣和辭婉				退溪		D_11_01_15.ann
貫徹簡婉	經幄			慕齋		D_11_01_15.ann
淸婉	贈檜谷獨居山人詩			崔學士, 金仁鏡	補閒, 勝覽	D_11_01_15.ann
馬車火鎗	英人, 馬車, 火鎗, 盜賊	一七八四年		勃喇馬		I_01_11_28.ann
防火用龍吐水	水龍, 水喉, 數學	紀元前 百二十年頃	亞歷山大	希罷希羅, 德斯比亞士		I_01_22_29.ann
豹尾	豹尾車, 乘輿	周				I_01_09_04.ann
